Fixity report
Project name	Demo_oudenburg
Algorithm used	md5
Date	2019-05-08
Time Elapsed	0 hrs 1 min 50 seconds
Total Files	228
Confirmed Files	0
Moved or Renamed Files	0
New Files	228
Changed Files	0
Removed Files	18
New File:	/Users/nastasia/Desktop/demo/tagmanifest-md5.txt
New File:	/Users/nastasia/Desktop/demo/bagit.txt
New File:	/Users/nastasia/Desktop/demo/bag-info.txt
New File:	/Users/nastasia/Desktop/demo/CollectieX.csv
New File:	/Users/nastasia/Desktop/demo/manifest-md5.txt
New File:	/Users/nastasia/Desktop/demo/ODB00442.xml
New File:	/Users/nastasia/Desktop/demo/data/ODB00448.jpg
New File:	/Users/nastasia/Desktop/demo/data/ODB00449.jpg
New File:	/Users/nastasia/Desktop/demo/data/ODB00447.jpg
New File:	/Users/nastasia/Desktop/demo/data/ODB00446.jpg
New File:	/Users/nastasia/Desktop/demo/data/ODB00444.jpg
New File:	/Users/nastasia/Desktop/demo/data/ODB00450.jpg
New File:	/Users/nastasia/Desktop/demo/data/ODB00451.jpg
New File:	/Users/nastasia/Desktop/demo/data/ODB00445.jpg
New File:	/Users/nastasia/Desktop/demo/data/ODB00442.jpg
New File:	/Users/nastasia/Desktop/demo/data/ODB00443.jpg
New File:	/Users/nastasia/Desktop/demo/2018-01.xml
New File:	/Users/nastasia/Desktop/Schermafbeelding 2019-05-02 om 14.27.38.png
New File:	/Users/nastasia/Desktop/imagemagick.png
New File:	/Users/nastasia/Desktop/persoonlijke_stuff/.DS_Store
New File:	/Users/nastasia/Desktop/persoonlijke_stuff/te kopen (bol).txt
New File:	/Users/nastasia/Desktop/persoonlijke_stuff/filature 0001.jpg
New File:	/Users/nastasia/Desktop/persoonlijke_stuff/20171231_pecha_kucha_2017.pptx
New File:	/Users/nastasia/Desktop/persoonlijke_stuff/factuur_1260839_klant_66408_1499417761.pdf
New File:	/Users/nastasia/Desktop/persoonlijke_stuff/verjaardag.jpg
